"ID","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulphur dioxide","total sulphur dioxide","density","pH","sulphates","alcohol"
1494,7.7,0.54,0.26,1.9,0.089,23,147,"Medium",3.26,0.59,9.7
100,8.1,0.545,0.18,1.9,0.08,13,35,"Medium",3.3,0.59,9
1478,5.3,0.47,0.11,2.2,0.048,16,89,"Low",3.54,0.88,13.6
1257,7.5,0.59,0.22,1.8,0.082,43,60,"Low",3.1,0.42,9.2
1036,10.1,0.37,0.34,2.4,0.085,5,17,"Medium",3.17,0.65,10.6
1240,6.5,0.67,0,4.3,0.057,11,20,"Low",3.45,0.56,11.8
1020,7,0.5,0.14,1.8,0.078,10,23,"Medium",3.53,0.61,10.4
799,9.4,0.5,0.34,3.6,0.082,5,14,"High",3.29,0.52,10.7
579,8.8,0.47,0.49,2.9,0.085,17,110,"High",3.29,0.6,9.8
708,7.4,0.49,0.19,3,0.077,16,37,"Medium",3.37,0.51,10.5
487,10.2,0.67,0.39,1.9,0.054,6,17,"High",3.17,0.47,10
267,8.1,0.87,0,3.3,0.096,26,61,"High",3.6,0.72,9.8
46,4.6,0.52,0.15,2.1,0.054,8,65,"Low",3.9,0.56,13.1
250,7.3,0.66,0,2,0.084,6,23,"High",3.61,0.96,9.9
29,7.1,0.71,0,1.9,0.08,14,35,"Medium",3.47,0.55,9.4
1407,8.2,0.24,0.34,5.1,0.062,8,22,"Medium",3.22,0.94,10.9
1186,7,0.43,0.3,2,0.085,6,39,"Low",3.33,0.46,11.9
1390,6.7,0.48,0.02,2.2,0.08,36,111,"Low",3.1,0.53,9.7
1095,6.6,0.725,0.09,5.5,0.117,9,17,"Medium",3.35,0.49,10.8
874,9.1,0.21,0.37,1.6,0.067,6,10,"Low",3.23,0.58,11.1
653,15.9,0.36,0.65,7.5,0.096,22,71,"High",2.98,0.84,14.9
857,9.3,0.36,0.39,1.5,0.08,41,55,"Medium",3.47,0.73,10.9
637,9.6,0.88,0.28,2.4,0.086,30,147,"High",3.24,0.53,9.4
416,8.6,0.725,0.24,6.6,0.117,31,134,"High",3.32,1.07,9.3
196,7.8,0.59,0.33,2,0.074,24,120,"Medium",3.25,0.54,9.4
399,11.5,0.59,0.59,2.6,0.087,13,49,"High",3.18,0.65,11
179,7,0.805,0,2.5,0.068,7,20,"Medium",3.48,0.56,9.6
1481,5.6,0.62,0.03,1.5,0.08,6,13,"Low",3.66,0.62,10.1
1261,8.6,0.635,0.68,1.8,0.403,19,56,"Medium",3.02,1.15,9.3
1465,6.8,0.59,0.1,1.7,0.063,34,53,"Low",3.41,0.67,9.7
1244,8.3,0.56,0.22,2.4,0.082,10,86,"High",3.37,0.62,9.5
1024,8.2,0.32,0.42,2.3,0.098,3,9,"Low",3.27,0.55,12.3
1228,9,0.58,0.25,2,0.104,8,21,"High",3.27,0.72,9.6
1007,9.1,0.29,0.33,2.05,0.063,13,27,"Low",3.26,0.84,11.7
786,9.9,0.35,0.41,2.3,0.083,11,61,"High",3.21,0.5,9.5
566,12.7,0.6,0.49,2.8,0.075,5,19,"High",3.14,0.57,11.4
695,9,0.47,0.31,2.7,0.084,24,125,"High",3.31,0.61,9.4
474,9.9,0.35,0.55,2.1,0.062,5,14,"Medium",3.26,0.79,10.6
254,7.7,0.775,0.42,1.9,0.092,8,86,"Low",3.23,0.59,9.5
33,8.3,0.655,0.12,2.3,0.083,15,113,"Medium",3.17,0.66,9.8
237,7.2,0.63,0,1.9,0.097,14,38,"Medium",3.37,0.58,9
16,8.9,0.62,0.19,3.9,0.17,51,148,"High",3.17,0.93,9.2
1394,8,0.52,0.25,2,0.078,19,59,"Medium",3.3,0.48,10.2
1173,9.7,0.42,0.46,2.1,0.074,5,16,"Medium",3.27,0.74,12.3
1377,8.2,0.885,0.2,1.4,0.086,7,31,"Low",3.11,0.46,10
1082,7.9,0.3,0.68,8.3,0.05,37.5,289,"Low",3.01,0.51,12.3
861,7.2,0.62,0.06,2.7,0.077,15,85,"Medium",3.51,0.54,9.5
641,9.9,0.54,0.45,2.3,0.071,16,40,"High",3.39,0.62,9.4
845,9.9,0.25,0.46,1.7,0.062,26,42,"Low",3.18,0.83,10.6
624,7.9,0.51,0.25,2.9,0.077,21,45,"Medium",3.49,0.96,12.1
403,12.2,0.48,0.54,2.6,0.085,19,64,"High",3.1,0.61,10.5
183,7.2,0.73,0.02,2.5,0.076,16,42,"Medium",3.44,0.52,9.3
387,7.8,0.54,0.26,2,0.088,23,48,"High",3.41,0.74,9.2
166,7.8,0.63,0.48,1.7,0.1,14,96,"Medium",3.19,0.62,9.5
1544,11.1,0.44,0.42,2.2,0.064,14,19,"High",3.25,0.57,10.4
1248,7.4,0.55,0.19,1.8,0.082,15,34,"Medium",3.49,0.68,10.5
1452,7.8,0.32,0.44,2.7,0.104,8,17,"Medium",3.33,0.78,11
1231,7.7,0.18,0.34,2.7,0.066,15,58,"Low",3.37,0.78,11.8
1011,8.9,0.28,0.45,1.7,0.067,7,12,"Low",3.25,0.55,12.3
790,8.6,0.63,0.17,2.9,0.099,21,119,"High",3.09,0.52,9.3
994,7.1,0.34,0.28,2,0.082,31,68,"Medium",3.45,0.48,9.4
774,7.9,0.4,0.29,1.8,0.157,1,44,"Medium",3.3,0.92,9.5
553,9.5,0.46,0.24,2.7,0.092,14,44,"High",3.12,0.74,10
333,8,0.58,0.28,3.2,0.066,21,114,"Medium",3.22,0.54,9.4
461,9.2,0.43,0.52,2.3,0.083,14,23,"High",3.35,0.61,11.3
241,8.9,0.635,0.37,1.7,0.263,5,62,"Medium",3,1.09,9.3
20,7.9,0.32,0.51,1.8,0.341,17,56,"Medium",3.04,1.08,9.2
1398,7.3,0.59,0.26,2,0.08,17,104,"Low",3.28,0.52,9.9
4,11.2,0.28,0.56,1.9,0.075,17,60,"High",3.16,0.58,9.8
1381,7.5,0.57,0.02,2.6,0.077,11,35,"Low",3.36,0.62,10.8
1161,10.6,0.36,0.57,2.3,0.087,6,20,"Medium",3.14,0.72,11.1
1364,8,0.83,0.27,2,0.08,11,63,"Medium",3.29,0.48,9.8
1144,7,0.22,0.3,1.8,0.065,16,20,"Medium",3.61,0.82,10
848,7.4,0.68,0.16,1.8,0.078,12,39,"High",3.5,0.7,9.9
628,8.8,0.6,0.29,2.2,0.098,5,15,"High",3.36,0.49,9.1
832,5.9,0.61,0.08,2.1,0.071,16,24,"Low",3.56,0.77,11.1
611,8.8,0.24,0.54,2.5,0.083,25,57,"High",3.39,0.54,9.2
391,5.6,0.85,0.05,1.4,0.045,12,88,"Low",3.56,0.82,12.9
170,7.5,0.705,0.24,1.8,0.36,15,63,"Medium",3,1.59,9.5
374,7.4,0.55,0.22,2.2,0.106,12,72,"Low",3.05,0.63,9.2
153,7.5,0.6,0.03,1.8,0.095,25,99,"Low",3.35,0.54,10.1
1531,6.6,0.44,0.09,2.2,0.063,9,18,"Low",3.42,0.69,11.3
1235,7.1,0.75,0.01,2.2,0.059,11,18,"Low",3.39,0.4,12.8
1439,7,0.59,0,1.7,0.052,3,8,"Low",3.41,0.47,10.3
1219,8.2,0.4,0.31,1.9,0.082,8,24,"Low",3.24,0.69,10.6
998,5.6,0.66,0,2.2,0.087,3,11,"Low",3.71,0.63,12.8
778,6.9,0.635,0.17,2.4,0.241,6,18,"Medium",3.4,0.59,10.3
981,9.1,0.5,0.3,1.9,0.065,8,17,"High",3.32,0.71,10.5
761,9,0.58,0.25,2.8,0.075,9,104,"High",3.23,0.57,9.7
540,11.2,0.5,0.74,5.15,0.1,5,17,"High",3.22,0.62,11.2
320,9.6,0.77,0.12,2.9,0.082,30,74,"High",3.3,0.64,10.4
449,8.6,0.53,0.22,2,0.1,7,27,"Medium",3.2,0.56,10.2
228,9,0.82,0.14,2.6,0.089,9,23,"High",3.39,0.63,9.8
8,7.3,0.65,0,1.2,0.065,15,21,"Low",3.39,0.47,10
1385,7.1,0.755,0.15,1.8,0.107,20,84,"Low",3.19,0.5,9.5
1589,7.2,0.66,0.33,2.5,0.068,34,102,"Low",3.27,0.78,12.8
1368,6.9,0.54,0.3,2.2,0.088,9,105,"Medium",3.25,1.18,10.5
